Samples,204252_at,211803_at,211804_s_at
GSM812458,452.968,6.30132,83.0405
GSM812459,346.29699999999997,7.20356,15.925
GSM812460,465.67699999999996,6.43938,14.699000000000002
GSM812461,493.407,22.8731,41.8976
GSM812462,518.1709999999999,21.5502,28.9165
GSM812463,427.23800000000006,2.82334,18.6826
GSM812464,668.543,6.51351,89.4956
GSM812465,495.589,68.1412,65.2707
GSM812466,381.86300000000006,3.90794,16.8753
GSM812467,264.441,54.0974,50.0
GSM812468,458.034,39.958,11.6863
GSM812469,292.156,87.7705,30.7231
GSM812470,280.7,5.0822400000000005,4.97238
GSM812471,459.36300000000006,3.5973699999999997,87.4995
GSM812472,261.043,69.9432,6.98912
GSM812473,434.786,92.3128,22.0267
GSM812474,413.298,48.3211,9.482489999999999
GSM812475,386.59,4.0695,54.5434
GSM812476,526.504,7.8368899999999995,59.1656
GSM812477,642.612,50.0213,102.176
GSM812478,503.30699999999996,57.8175,20.1069
GSM812479,170.71599999999998,5.956259999999999,29.1814
GSM812480,402.19199999999995,7.31318,37.0423
GSM812481,333.961,41.163999999999994,56.5827
GSM812482,713.068,40.1447,56.861999999999995
GSM812483,638.188,3.14038,138.629
GSM812484,811.65,25.1403,58.7482
GSM812485,494.152,9.77645,48.6811
GSM812486,702.62,7.210960000000001,78.2744
GSM812487,373.657,2.8776900000000003,38.4148
GSM812488,582.6080000000001,6.8899300000000006,71.8021
GSM812489,267.04400000000004,11.0494,31.0377
GSM812490,299.255,3.7044300000000003,8.07728
GSM812491,543.97,40.8445,121.36200000000001
GSM812492,314.274,23.3824,16.8781
GSM812493,327.563,3.31294,43.0249
GSM812494,537.735,92.46700000000001,78.8535
GSM812495,577.22,8.357380000000001,135.616
GSM812496,693.1139999999999,39.4257,38.0266
GSM812497,512.144,8.4798,75.0455
